id,date,text
Melissa Torres,8/9/2020,"My 7-year old and I love playing the game! The graphics are great and she loves seeing what happens when she makes different life choices. With that said: 1. We would like to see at least 4 different player tokens so there are not 4 wheels, skateboards or birds when looking at the aerial view of the game board. Once a token is selected, it can't be used by another player. 2. Is there a way to personalize the name for Player 2, 3 and 4 when there are 4 humans playing? We tried everything in the edit mode including tapping the name plate and nothing works to change the name. The names do change when they are computer players. If there is a way to change to names when in ""human"" mode, it is not intuitive. 3. As other players mentioned we do wish there was an option for a longer board. I like the short version that exists right now but when we have time for a longer game, another few routes would be great, with more house spaces, salary spaces and other perks. Does not seem to be very many house spaces, we've played many games when neither of us had more than one degree and both had zero houses. We do love the 2nd chance spots!! 4. The ""risk"" road seems boring since it's all Wheels of Fate with a few Taxes spots sandwiched in. We hate landing on a Wheel of Fate because we ALWAYS get Taxes. Also where is the reward for taking the risk? Would be nice to have a couple of very large financial gains on that street, like a $500k spot and a House Inheritance or something. How about a free scholarship for another degree? 5. Does it matter which spouse you choose if you go down the Marriage road? Are there advantages over one or the other? This isn't explained, unless there are no special advantages of one over another (there should be if there are not). I guess same thought on kids, are there advantages to having kids? If yes, what are they? 6. I would like to be able to pay back debt when I get paid my salary, that would be a nice ""pause"" option when cruising over a paycheck collection space. 7. It's nice having two career choices after completing an education purchase but we always take the higher paying job, why would we choose the other one? THANK YOU FOR THE AWESOME GAME!!! Melissa and Sophia"
Mike Rumans (Popnfresh-Trex Popn),12/21/2020,"I had originally done a 5 star just because the game is a childhood favorite. I've played many many rounds on the starter board. Then was informed of a 1 time only sale for 50% off season pass where it suddenly went to 34.99 as retail but could be bought for 17.99 So I bought it just cuz I was enjoying it. A few hours later, suddenly it says to get the season pass for 73% off. Kind of shady marketing. Still enjoy the game and not as excited but still am none the less to see other boards."
Alex Wawroski,2/15/2022,"A whole lot of fun, and surprisingly charming art and animation! I don't recommend the 5x speed up option because it causes freezes, but you can just minimize the number of opponents to speed things up instead."
Jessica Weaver-Kenney,2/24/2021,"It's fun and the new additions are interesting but it feels like I miss out on a lot of life events. I played 2 games and both times I never got to have kids or pets. I also don't like how buying a house isn't guaranteed either. Are my spouse and I just living in our car?? I just remember in the first mobile Life game and in the boardgame, I got to experience more. I think this one focuses too much on education and careers, which is ok, but there are so many other aspects of life."
Tejpreet Mundi,1/11/2021,"Here are few suggestions to improve this game. 1: In game chat, emotes/taunts and voice chat with ability to mute players individually. Without them, the game feels boring without the social aspect. 2: Game feels too short sometimes. Maybe make another mode with more tiles, or more paths to choose from? 3: Jobs are almost always repetitive. I expected larger pool of jobs to choose from. And by that i don't just mean different names for them. 4: Ability to add friends. Specially fellow players."
Saltiest Meatball,1/25/2021,"Deapite having a top of the line phone and 5G/1GB Wifi, the game still refuses to play well. Constantly freezes either during the game or during the score tallying, forcing you to void the whole game. Happens basically every other game. I would vote 0 stars if I could. Poor optimization."
Vicki Louise,12/30/2022,"I love the game so much! However, I have been trying to install the ultimate life collection all day. I have emailed multiple times and I have still not been able to get this to work. I have purchased on other games today to see if this was not an in game issue however I have had no other issues with any other purchases. I am very disappointed as I love the gameplay so much but I am going to miss out on the sale opportunity due to the issue."
Jennah Wittenbarger,7/16/2020,"The game is fine. Nothing spectacular. The original version is still the best. At least in the original you get rewards for ""expanding your family"" - Also, when given the option for a ""better"" job, it's not necessarily better, esp with the new ""taxes"" addition. The plus is being able to stay single and have pets instead of kids, but, there's no real incentive. It still ""rewards"" you for getting married in the way of TAKING money from the other players. Not worth purchasing when original is free."
Ashley Nicole,9/17/2020,"Within 10 minutes of opening the app it turns my whole phone off. At first i thought it was a coincidence but nope, it still shuts my phone completely off anytime i try to play the game. I havent even gotten to play a whole round, yet i paid money for the game. It doesnt give any warning or reason why my phone restarts but ive never had this happen to me before. I guess I'll be deleting the app since its only use seems to be taking up space, as of now."
Terri Charlton,8/23/2020,"Game constantly freezes! I have missed many of the final scores due to the game freezing. When it freezes during gameplay, I can save and quit and return but the final score is pretty important and it won't allow me to save and return at that point."
MTFBWM,7/25/2021,"Very fun game, just wish the aesthetics of the game would change according to the set used (for example: move with swimming, jet-ski or surfing effects when using the seaside theme instead of just driving along on the same track). Otherwise a great game."
Jessica Sunderland,9/1/2020,"Lost all progress when I had to reinstall the game. I ended up needing to factory rest my phone thought since I bought the game it would be backed up on my Google account. Turns out I lost all my progress, didn't have to buy it again. I have to start over and I had 3 goals left."
Static Syndic8,7/16/2020,"I absolutely love this sequel! I really loved the original but this one is like 10x better! I would ask for 3 things though: 1) for purchases to be *slightly* cheaper 2) the ability to change your friends names in pass and play 3) and finally, the feature of kicking a player in online multiplayer if they are afk and replace them with a robot Besides that I love to see this game grow! <3"
Joshua B.K.,3/12/2022,Game is pretty bad. Watched the game move me countless occasions to the wrong spot. Count is off. Players constantly hitting back to back to back perfect rolls. Youll barely have a fighting chance. To top it off is 4.99$ for any new maps. No thanks. Instant uninstall.
Evan Tolstov,10/3/2020,"This is a great game. However, it tends to freeze up on my turn quite a bit. It'll just keep being stuck in the screen until enough time passes when the game will play for me, at which point all I have left to do is just exit the game. It's a fun game, but it's sad that this is an issue. It keeps happening pretty often."
Christine Wagner,6/18/2021,Fun and addictive. All the tradition game with a few more surprises. All the different options for cars and outfits are awesome. Also i love how it doesnt just give the traditional male and female options. There is a 3rd option that is both. For marriage the game gives an option to wear a suit with a veil. Very cool game. I love that I can coop with my family and friends or even play up to four characters on the same device. Very very cool ;)
Zak Robinson,7/15/2020,I've really enjoyed this game... the creators have obviously put alot of time and effort into this :) I would recommend the buy... I just played a second game and one of the players took an extremely long time to spin the spinner... so just in case some leaves the game I believe that a timer on the spinner section would make a great addition to the game but no worries if you can't
Jeff (Euphoria),5/2/2023,"I thought this game would be at least AS good and have as much depth as it's 98 counterpart. The game is trash. Can't believe I paid for it. No depth at all. Things happen and nothing matters. It's so short. You can complete a game in 5 minutes. I rolled 1 after 1 and the game only lasted for 15 minutes. Tldr: short, boring, life ripoff, every other feature other than base game locked behind about 100$ in pay wall, Short."
Kersten Bartelt,3/22/2022,I like the game pretty well but had bought a single map expansion then the season pass to get them all. A few days later I got the season pass refunded and lost access to all the extra maps. Not happy and not sure who to reach out to about it.
Dani O,1/3/2021,"It's a fun game but the grow your family puzzle board is so hard to achieve. In the original board game we had to spin to see if you got single, twins, triplets at the end of the child segment, bring that back. Also give us more options for kids (if you land on space if you choose kids, spin to see the number of kids you'll get) or including getting married as grow your family. I purchased all the boards and upcoming boards so I'd love to see more options to grow the family."
Josh Choppin,4/12/2021,"You have to pay for everything. Not just the initial game, but everything else too. Plus the challenges aren't challenges. Grow your family 30 times isn't a challenge. It just takes away your choices and makes you wait for luck of the spinner. Win a 4 player online match is a challenge."
Cody Harrison,10/19/2020,"It's fun, but I should have looked into it more before purchasing a VIP pass. The additional worlds are the same as the main content; they just have different themes. Replayability is very lacking - especially if you purchase new worlds."
Nell Wils,3/26/2023,"It's more modern and better graphics and more options than the first digital Game of Life. Definately love it. Go ahead get it and see if you like it too. That's how much I like it... Gonna do a small little advertising for them... How I get like a little gift for that... Hint, hint. 😁"
Jennifer Matte,4/5/2021,Fun and no in your face adds. I got this game so I would have something to play with mom as we sit together and it works out perfectly for that we use pass and play. The dlc maps have different careers which is fun . I felt it was a worthy investment for the bit of variety it adds though every map is the same (probably for online compatibility)
Bianca,9/9/2020,I live the board game and I was enjoying this version but I uninstalled it due to the fact that it seems like some people are able to cheat. I've played several games where other players have been able to spin multiple times to get a preferable number. The final straw was when it was my turn and the wheel spun before I touched it then landing on someone's lucky number but I was still able to spin to get another number.
ro cc,1/20/2021,"The game itself is ok. The thing i dislike is the people playing it. There should be a 30 second timer implemented. If you don't move turn skipped. 3 strikes your out from being afk. Last few games we would be waiting like 3 minutes before someone would do a single spin, 3 minutes before they press the confirm button, and not skip a single scene when they are being that ignorant. I did rage quit because of it."
jessica caves,7/15/2020,"After pointing out a few issues and the prompt and useful response of the developers I have changed my score to 5 stars. This is a brilliant family game that is easy to use, and with the different game modes (single, pass the phone and online) there is a way to play for everyone. I love the diversity and the fact this classic game has been brought into the 21st century to be more inclusive. Well done team 😀"
Tyson Gibson,4/16/2023,"Lots of fun, great graphics and nice add ons. Like that I can make choices. One minor complaint: some players are manipulating the spinner which is irritating. Seems like that could be fixed. Otherwise great game!"
Stephen Callans,10/28/2020,The game is pretty fun. I bought the package with all the boards and now it won't let me play the single player mode. I have to pass and play or play online. Can you fix this? Update: had to uninstall and then reinstall he game. Works ok now. Does freeze from time to time. Not sure why. Pretty fun though.
Shannon Sihtam,4/10/2021,Its not too bad but as many others mentioned you are paying for the original one only. They charge for everything else. I also think its a bit short. I think they should have options for longer or shorter games and more than 4 people. I also agree there's a lot of repetition so I would like to see a bit more diversity in the content.
Kellie Walker,11/9/2020,It's fun but the options are limited and there are more modes within the game you have to pay more for. It shouldn't be that hard to make more career options or something? Also constantly crashes and says there is no internet when there is.
Laurissa Chipman,2/16/2021,"Misleading with the trailer. Not nearly as interesting or interactive. Dont see how this game can be 5$ more then the game of life (which I also have paid for ) when this game is extremely similar aside from a few things. Will change to 5 star if they resind to my email. But not worth 7$ considering it's not much diff from the first one. Again, trailer was very misleading for the interactive part. Would have preferred life vacation"
Tejas Karandikar,1/20/2021,"The game is great but the only issues are that the game sometimes freezes and lags at most of the stages... Also the original way of spinning the dial should be brought back in order to decide who plays first... Other features that need to be introduced are, actual players in single mode by random matching and also more worlds, but for free..."
Alexa Wermuth,7/13/2021,"This game is a lot of fun! Its just really hard to have kids which is my favorite part! You will be lucky if you get 1 kid during the game, 2 is pretty rare. Once I got 5, but I've never had 3 or 4. I also wish you could have twins like in the real game. Overall I really love playing this, you can play online with real people, online with friends, alone with fake players with computer generated moves, or you can play with friends in the same room as you with ""pass and play."""
Cael Schipper,3/12/2023,"It is an awesome game with so many maps. Just one thing, I wish they would update and add more content, and change up the map. I know they have different maps, I just wish they had a different route than the single route all the maps have"
Elena Vigil,7/15/2022,"Do not purchase! Although you already bought the game, it only comes with one map. After that it is 5 dollars for each additional map. In reality a $30 dollar game that isn't worth it! Update! Then they contacted me explaining that it is because you pay for "" cosmetic in app purchases"". How about you advertise it that way from the beginning and stop stealing people's money for 1 boring map"
Johnna Guillerman,10/26/2020,"Really fun but I think people might be cheating? Just strange when people roll perfectly every time. Also they should have an option for people to play different maps. Not just cosmetic changes but changes and additions to length, paths, etc"
Jinxie Joelle,12/31/2022,"Addictive game but many bug issues and drains the battery quick , put my phone to charge as I been playing more then 30 minutes and my battery went from 88% to 12% , I even had it on charge and my phone become hot with less battery percentage at 6% 😳and my friend experienced the same issue.... also should be and kick out or reload player options for players that don't press ready or lose connection when joining online.. otherwise I would say 5 stars .. please look into this issue. Regards"
Holly Bunn,8/10/2020,While playing the game it freezes and I have to exit out and get back into the game even than it freezes about 4 more times before I can finish the game I love the game when it freezes on single player mode (waiting for a player) it makes me not want to play it anymore
C F,4/18/2021,The game is super quick and the board is really small. Dont expect to be able to buy a house and have more than one child because the spots for those are very limited. I played this 4x and had practically identical gameplay each time. Waste of money in my opinion
Makayla Garcia,2/23/2021,I really like this game. Can you put more colors and clothes and hair for free. So we can get them with the books and hearts and pigs. Or getting more stuff with them. My daughter and I play together. We got the three roads to play on and we enjoyed the game a lot. But it should be more free stuff and more roads also to play on. We haven't play together like this for a long time. We both enjoy the game so much. But it does need the hurry up button and the smiles also. That be great to add
Pell Torr (Borzonslayer),1/30/2021,"As far as I can tell, the game deliberately shorts the player in solo play, handicapping you on every spin while all computer players get the best possible jobs they can, move around the board at twice your speed, and all focus different point goals so you can never have anything in your favor. Screw this game and it's deliberately suppressive rng."
Amber Wright,8/15/2021,"So far I like the game. I bought the season pass, thinking it would be fun to host the games and play with my kiddos. When i do the online with frienda, i am the only one on the different board, and makes them in the classic board. Me being the host, you would think it would share the board for the game. But it doesnt. Only way to do it is pass n play. Im frustrated."
Amanda Rok,8/3/2020,"What a waste of money. Game worked perfectly when I was getting my ass kicked. As soon as I waa going to win a single game, it froze after showing money earned and didn't progress to points earned or who won the game. I do not give negative reviews often, but I also do not spend money on games often. Don't waste your money!!!"
Chevyguy,9/9/2020,The game for the most part is good. But when playing multiplayer on either android or ios it has a tendency to either crash or freeze. It is a little frustrating. Hopefully that can be fixed soon.
Matrix -Mega,4/20/2022,This game is fun but there is actually no system that times out players when they go afk for large amounts of time. There has to be a system that will kick the player after like 2 minutes of inactivity. Or a timer because this problem is so terrible people will go afk on purpose because they are losing and they game is close to the end. Everytime I play just last game someone went afk for over 10 minutes near the end I screen recorded about 1 minute. THe problem is so bad I can only give it a 1⭐
Megan Anderson,4/27/2022,Too short. Anyone else having issues at the end of the game where it doesn't break down the totals? It just stands there and doesn't do anything at times... have to reset the game too often. I had this problem with the first version too sometimes... this should be fixed by now...
Eric Williams,1/7/2021,"This game is amazing! Needs a loop effect to keep playing longer until bankrupted or stop at old age. Just like the feeling of playing the actual board game without all the hassel. Great graphics n choices. Also, needs more choices to choose from."
Shelley Balsley,11/30/2020,The game keeps freezing up and I have to quit and then load save game. Beyond that the game could be a little more animated with the choices. I would have rated the game a 3 or 4 if it would quit freezing though.
Blakie Boy,11/29/2020,"The game is Overall Fun,exciting and entertaining.I had A nice time playing it with friends and family with the pass and play mode, However in my opinion The game slightly lacks customization,There is not that much to buy and What there is Is Really OVER PRICED (In my opinion).If You can add a little more Things in The Shop and Not make 1 Mape Really Expensive For some,Just lower thing a little and Frequently update the game and maybe Make A bigger map."
April H,3/16/2021,"Its a good game with no real issues experienced. My reason for the rating is similar to everyone else. Do not waste your money buying this because all you get is the base level board. All other boards cost money, just like the first version of this game. Unless you're prepared to ultimately fork out around $50 which is the cost of a physical board game, this is not worth ANY money. It should be free to download, and it shouldn't cost as much as it does for new boards."
Kookie's cookie,8/13/2021,"Game is great and so fun. However, lately, my single games keep freezing and I don't get anything from them. Even if I ""Save and Leave"" when I get back it opens a new game and all the progress is gone. I hope this issue can be solved so I can play."
Samin Ali,12/25/2020,I got this game last month during a sale for 50p and I am going to explain my experience from then up to now. First of all purchasing this will only get you 1 board and 1 set of tokens if you want to get more boards and tokens you have to get them separately or in small bundles or buy the season pass which gives you access to all of their current and future boards and tokens. The gameplay is overall pretty fun with cute cinematics. The 1 thing I want is for the boards to be longer.
Ryan L,12/19/2020,"In spite of other reviews that mention the cost of the game being pricey for one board, it's a good game. I think it's actually kind of reasonable considering the life physical board game gives you one board for -$20+. It's a fair price in my eyes. My fiancee and I enjoy passing the game to eachother and competing against the bots. She loved the life board game and got me into it, and this is even better!"
Caitlin Reisinger,12/14/2020,"I was just playing the fantasy world version in multiplsyer online, and someone named ""BigPP"" got the ""app developer"" job from the original world IN fantasy land, it never had the right graphics when they spin, and now I can't open Google play. I've turned my phone off and on again 3 times and attempted access through settings, chrome, and other games. Google play won't load. I assume it's to prevent me from reporting this but then I left my phone alone for 5 minutes and was able to report this"
tiffy,1/31/2021,"*update Issue was handled well, good customer service and it was an error in wording. All good.🖤 Purchased the Haunted Hills Bundle which came with the world, +8 collectibles to get throughout playing, 6 vehicles, 9 avatars, and 9 outfits but only received 2 vehicles, 3 outfits, and 3 avatars as if I had only purchased the expansion pack."
Ash B,10/5/2020,"My kids and I love this game. And its a fast paced game at that, yes it cost money but if your kids like being on their like mine do then this is a way for all not to have to go through the whole get off your phone thing, plus have family time where everyone is happy and spending time together! Can't put a price on that! Not even $2.orb$3. Or $4. Or $5.99!!!!"
Lil Red DeadHead,7/4/2021,"Grade and always entertaining! With new options putting a twist on the game while still keeping the integrity of classic game of Life. The season pass is also a definite plus! Got it on sale and have not had to buy a single expansion yet, and there's already been four! Highly recommended for anyone of any age for casual entertainment and fun."
kurt cyr,11/30/2021,Way to go guys!! You made a classic into an updated turd no one wanted. This game was one of my favorites. I tried to play this for the first time today and I couldn't even finish college before wanting my money back. Unfortunately I missed that refund window and now im stuck with a game I'll most likely never open again. Keep up the terrible work. And rot in pieces updated game of life.
Yup,8/11/2021,"The game is fine, and pretty clean. 2 stars mainly for the fact that you pay 4 dollars thinking you're getting the full game, but instead get a single world, and the rest of the dozen or so are 5 dollars (even more than the game!). I feel like I bought a demo. The smaller issue is all online play is disabled. Why? If there's a reason, tell me why in the game so it doesn't annoy me constantly."
Thomas Ecker,5/8/2023,"This is an interesting remake of the classic board game, but... all of the new features simply detract from the game play for me. The taxes are an interesting twist, but the personality attributes, the collectibles... They're a little much."
Sam MaC,9/19/2020,"My problem with the game is that I purchased the Fantasy board, but it didn't say that it was only for a limited time. This board cost more than the game...That was a waste of money, now if I want to play it again I'll have to repurchase it?! You all should be ashamed of yourself for ripping people off like this....Not HAPPY AT ALL!!!!! 😒 😕 😑 😐 🙄 😒"
Erika Wilcox,7/16/2020,"First time playing game of life on mobile & it's a really smooth, pleasing experience. I wouls say that making the game a little more interactive in the future, like the ability to add friends, some type of leaderboards, would help keep people engaged & wanting to play long term."
Bhutwheyt Therismor,9/26/2021,"I had it at two because it wouldn't stop freezing, then it froze three more times in a row. A friend of mine is having the same issue. I don't like that I payed for something that doesn't work. If it gets fixed I'll buy the season pass, but it's unplayable until then."
Lady Burst,7/13/2021,"First of all it lost all my progress,has no button to contact support . i had to buy the game twice! And ive lost so many unlockables and 30 or more so dollars! Update! I contacted support they told me there is no way or restoring it nor giving me my money back. So if i wish to get back to where i was ill need to invest 20 hours or game time and give them more money for something i paid for. Super greedy!"
Jennifer LaRousse,3/5/2021,I've only been able to play it once since I've downloaded. It crashes everytime I try to open it. This isn't the first time either. I shouldn't have to uninstall and install again over and over. Reinstalling does no good when you use in-app purchases and those don't count when forced to re-install.
Marky Mark,7/22/2020,"Only been playing for a few hours, but for $3.50 and no ads, with all the new additions, I can't complain much. Although, my only complaint thus far is that I'm fairly certain I'm playing with bots rather than actual people when playing online...I switched to another app on my phone several times during an online game, only to find the previous player still on their turn, on the exact same space they were when I changed to a different application..it should be made clear to us if they use bots."
Jason Hicks,3/22/2021,"This game seems to delete all of your save data between updates. Combined with the fact that this app doesn't use the Google Play Games achievement system, any progress is meaningless. This is a game breaking bug and inexcusable for a game with expensive DLC."
Matthew Scatchard,8/23/2020,"Love it, but 2 things 1: sometimes the game freezes so i have to quit the app and reload it 2: sometimes it displays the wrong amount of money I have Fix these and then I'll give 5 stars!! Can't wait for more themes to play through"
Drake Featherwing,7/18/2020,"Good, but the maps feel way too short for the content the game has, the only other board available at launch is locked behind a $5 USD paywall... Will consider buying again when development progresses a bit more, but for now, had to refund and uninstall as it didn't hold my attention as expected."
VK x,1/10/2021,"Game feels rushed, it ends way too fast and the spins don't seem random at all. Would like to see the old PC game from 98' brought back to mobile and remastered. That was way more fun to play."
Jordan Kananen,8/10/2020,"Such a disappointment. The game board is much too short, you play through two or so times and you're already bored of the game, becomes very repetitive. Game would be much better if the board was longer or if there was additional boards that were included."
Kelly Walker,4/9/2022,Very disappointed in this game. Was defiantly not worth 6.99. The Game never changes . It's always the same jobs no matter what route you take. You need to spend more money to play on different board game backgrounds. Huge disappointment. I want a refund.
Ris AR,2/14/2021,Very addictable... I love the board game and this works for a phone game too. Totally worth the price. Brilliant game. I wish you could send simple prompt messages to hurry up the players - a 4 player game can take a long time. I would also like to send simple emojis to interact with the online players. Lastly the game won't start until all players are ready. Please add a time limit or start the game with less players...
D,2/4/2021,"You have to pay to unlock new worlds, I thought they would be longer or extended but its the same repetitive thing with a different theme. When you collect all the collections, it should unlock another lengthier level."
Megan Buchanan,5/19/2021,Fun but waste of money. You only get access to one board after paying $4 and have to pay more for locations. That is not fair. I deleted and requested a refund. Make the first board free and then you could charge like $2 for the next one not $5.
Drax1s 7,9/26/2020,"It's a fun game to play with my SO. My complaint is with the lack of replayability, especially noticeable with the paid content. There is a lack of action space events that would add so much more replayability to the game. There is no new themed action spaces with the Fairytale Kingdom like ""Rescue a peasant from a dragon: collect 1 Heart"". Or "" Find treasure under a troll bridge: collect 1 Wealth. I'd buy the premium content if there were."
Janet Chil,7/17/2020,"I love this game so far. But what I don't like that you can't save your account. I have it installed on my android and my Chromebook, I use the exact same Google Account for both games but when I started playing on my Android, everything I had saved on my Chromebook was not on my Android phone. I'm disappointed about that. Please make it so we can link accounts. Thank you!"
Mike Carrigan,6/5/2022,"I cannot make the spinner ""spin"" on my phone. I can run my finger all around that spinner and it will go in a circle as long as I run my finger around it but as soon as I release it, it bounces back and forth and never spins...so I can't play. My wife plays just fine on our Chromebook and she players her sister across the county but it won't play on my phone."
Vanno Kouch,4/2/2021,"Great game overall. Don't listen to the complaints about the skins, they're just skins and cosmetics. But I would say I wish there was another real board that was longer, and it should have the option like the switch to continue after retiring."
UnicornVommit,7/19/2020,"Just learned that the season pass is considered an inapp purchase, meaning that in order for all 3 family member to have all the content I have to buy it 3 times after already paying for the app in the first place. (On sale for 29.99 right now.) So almost 100 bucks for everyone while its on sale... Can we at least get to try a map before buying it. Geez what a money pit."
Mrz. Renee,4/14/2021,"I absolutely love this game, it's extremely addicting! The only thing that I wish it did have, where the emojis like the first game of life. I also had the issue where when I changed new phones even though it was with my email and I purchased the season pass none of my avatars that I had earned didn't roll over not to start all over again 😔"
Daph,3/24/2021,"It's so much fun the game could be a little more smoother and it would be nice if you didn't have to pay for the other boards you should be able to earn it, but if you can't do that then at least lower the price cause I don't wanna pay 5 dollars for it, other then that it's a great game if you could take my suggestions then I would definitely give this game 5 stars."
Rebecca PriceLarison,9/7/2022,"Good game, there needs to be more variation in jobs. And I wish the jeep was an option for vehicles instead of just one of the transformations. And I would like to be able to choose the animal or color of baby I'm getting."
Colleen Trump,8/15/2021,"The game freezes constantly. You can't get to any other boards unless you pay. I thought maybe you could when you win all the collectibles, but that doesn't do anything at all. Pretty disappointing considering I had to pay for this app."
Turdy TurdPiles,8/26/2022,"Constant crashes. Worst thing is that if your game crash, you can't go back to your current game. You are forced to start a new game. On top of that, you are unsure if you are playing with real players or a bot. If you crash, the bot will play it for you. Repetitive and it gets boring after a while."
Abyss Gaming YT,3/11/2021,"The game is brilliant for family as well as the graphics are good, gameplay is good however I think the game is limited to a free to play who only brought the game. I think a good way is to have a second free environment (as the only free environment is the default) that can be unlocked by unlocking all puzzle pieces from the default map. I say this because it would spice the game up for free to play people as well as make the game more interesting."
Caleb Carr (Teaer),8/2/2020,"Game constantly freezes on other players loading screens. The puzzle pieces for creating a family is hard to complete, since landing on those squares is hard. The fantasy board needs more immersion. Game is fun when it is working."
F. PWALYM,4/19/2021,"This is good, but can you make it more complex like The Game of Life (1998)?? Also the game is so often to freeze, especially after a player/computer moves... Fix this please... Or can you make New Version of the game?? With the same energy just Like ""The Game of Life (1998)"" on Playstation One/PSX...."
Pam tatum,6/24/2023,"It's a fun game me and my family play it on family night, but we are unable to change our names in the game it just says ""Player"""
Caleb Carter,2/2/2021,Game freezes (I'm literally on a new generation phone) constantly and it's repetitive and boring. Its too fast to end and too slow to play. Not with $1 let alone its actual price of $3.99. Any and all dlc is $4.99. Highly unrecommend this.
Catherine Vestorp,2/7/2022,Love the game but it constantly crashes everytime it goes through the four players. I spend a lot of time waiting for it to load and less time playing the game. Seriously!!! FIX IT or i will delete.
NightRay Eclipse,6/13/2021,"This is a great game and ramp up from the original. however it would be nicer to have a longer board. and for children/pets to give a bonus at the end of the game. Also can you please make it cheaper to buy the other maps, i think £4.99 is a bit of a rip off."
Sarah- Jane,3/16/2021,"I really like this game. However I can't seem to play single player, it used to work but now when I press the single player option it keeps jumping around the screen and won't let me play. I've tried uninstalling and clearing cache multiple times, but still nothing. Any ideas how to sort this?"
Tina Truong,3/16/2021,"Good game, worth it! But you should be able to kick people out for taking too long. There's no way to tell them to hurry up so a button to kick someone out would be good. If the rest of the players also agree by touching that button. They should get kicked out. I'm tired of waiting 5 minutes bc one person isn't paying attention"
Abi Kendall,7/17/2020,"Really enjoying the game, although i seem to be encountering a few problems on the online multiplayer games, after a few turns i can no longer pick any of the cards for example i graduate from college but the game won't let me click on the job cards, i can press anything else but the job cards becoming very frustrating."
Henry Hobbs,7/15/2020,"This is a great sequel to the original game of life. I'm really impressed with how polished the game feels on day 1. I didn't encounter any issues while playing. The gameplay itself stays true to the original, while giving the player some more agency so it doesn't feel like a pure game of luck the way the classic game does. I'm a little put off by the day 1 DLC but I've come to expect it from this developer, and its of course not necessary to enjoy the game."
joey chung,10/2/2021,"This game is not allowing Online with Friend function the second time when i open this game! Whats going on?? Can adminstrator fix this?? ( I had the exact same problem with Monopoly, and it was fixed a week later after I left feedback like this. Hopefully it works again!) Thanks"
Shannon Cote,1/22/2021,"it's just okay! many missed opportunities... The action cards shouldn't be the same in all lands. There's not enough on the board to keep entertained. Roll a 10 you skip over all the babies(the fate wheel is a chance but mostly get taxes) There aren't enough chances to buy a house. There's not enough content. It's job, marry, taxes, action(repeats)I got the same action in one game 7+ times, fate. It's like playing the same game over & over. It needs more!"
ohwaizo,2/25/2021,"just played my first game, was GREAT. wayy better than the super old app version. fully delighted about the reboot! <3 so many things to do, so many options, new things, and STILL holds the integrity of the original boardgame. 《3 I appreciate the creators to do this! I would love a refund from the old version though.. it was unplayable .. and I have a Galaxy S10+. Again, Thank Y'all!!"
Explorer SJ,4/25/2023,So far so good. But can be improved. Like if we could rotate Avatar while on map to see who is sitting at back seat. Audio chat during a game feature. More options to choose opponent and take their money like suit file etc.
Anthony Young,5/6/2023,"Good game, Nice graphics fun game, bought it on the back on mouse trap giving our small family of 3 loads of sofa fun and multiplayer fun when I'm away working. This however is a paid game with the option of a £30 upgrade....£30 for a mobile game and some extra boards. Had I of seen this I wouldn't have bought as I can't stand company's who are add on heavy and this game is a sumo wrestler when it comes to heavy. Fun to pass the time with family but expect a child asking for the upgrades."
Flordeliza Salazar-Quilates,6/20/2023,First time playing this game and it was fun though sometimes the board glitches and shows the wrong number but overall 100/10
James van Rijn,2/3/2023,"Absolute rip-off. You pay for the game only to find out that it gives you access to just the first map and nothing else. All other maps require purchasing. The game doesn't last long enough either. Absolute waste of money. If I could give it zero stars, I would."
Babay Lan,8/13/2023,I love it very much...I already purchase the Fairy Tale Kingdom and Haunted Hills...looking forward for more features....
Melanie Turnbull,11/13/2022,"It's a decent game. Just know you only get one map for free which I find reasonable because when you buy the game in store you also only get one board. I purchased the skins pack and it's been very cute and kept it interesting. It's great to not have to set up, pack up, or read the rules 😂 this game is eligible for Family Sharing, as is their suite of Marmalade board games, so give it a try! Good customer support, too."
Cakey Online,4/3/2023,"I absolutely love this, and have now got all 3 of us siblings playing long distance using the in game cam and mic. It is just so easy to use and so much fun. And I'm addicted to playing against AI and unlocking all the stuff. Can see myself buying all the maps for sure"
6th Face,11/29/2023,Fun enough. But microtransaction hell.
Courtney Davis,1/7/2022,"I have the first game of life as well. So that's two games I have bought from yall so far pluse I paid for the season on the first one. Both of your games are laggy and freeze up, albeit the second one less. Just really disappointed in the fact that your games run so poorly."
PAL7OS G,6/23/2021,"It looks awesome, but the artificial lukk is quite suspicious. I haven't won 1st place against the computer players once. I'd rather play the actual board game nd have a real natural chance 2 win 1st place. Online is a little better, but it's still artificial lukk. Not a fan of that"
Matthew Lang,3/19/2023,"Wish there were more and varying maps, but I love this fun and highly replayable game. Must have played 100+ times in the last 6mo. One day, I'll even post online the results of a scientific experiment with 5 games I played and which variables yield what results (or not)."
Charity Kittelson,11/17/2021,"I'm going to stick with the original. While it's nice to play with friends online, 9/10 times when I play the computer, the computer will have a lead in career cards, bonus spaces and overall wins. Not a fan"
David McGrath,8/25/2020,"Since the maps are smaller and we pay for add on maps, can you make it so we can play on multiple maps for a longer game? I guess I'd just like a bigger board or even add an option for a 1-6 spinner so we land on more of the board. Otherwise fun game guys keep adding to it.. I see your response, thanks"
